class,nm_mun,descricao,area_km2,id
33,Arroio do Sal,"Rio, Lago e Oceano",21.069,1
33,Balneário Pinhal,"Rio, Lago e Oceano",17.9778,2
33,Capão da Canoa,"Rio, Lago e Oceano",2.878,3
33,Capivari do Sul,"Rio, Lago e Oceano",19.3429,4
33,Caraá,"Rio, Lago e Oceano",0.0132,5
33,Cidreira,"Rio, Lago e Oceano",45.6999,6
33,Dom Pedro de Alcântara,"Rio, Lago e Oceano",13.9112,7
33,Imbé,"Rio, Lago e Oceano",4.9966,8
33,Itati,"Rio, Lago e Oceano",0.0413,9
33,Mampituba,"Rio, Lago e Oceano",0.1574,10
33,Maquiné,"Rio, Lago e Oceano",122.5637,11
33,Morrinhos do Sul,"Rio, Lago e Oceano",0.6512,12
33,Osório,"Rio, Lago e Oceano",172.3394,13
33,Palmares do Sul,"Rio, Lago e Oceano",86.18,14
33,Terra de Areia,"Rio, Lago e Oceano",10.3721,15
33,Torres,"Rio, Lago e Oceano",7.3572,16
33,Tramandaí,"Rio, Lago e Oceano",17.6374,17
33,Três Cachoeiras,"Rio, Lago e Oceano",89.2569,18
33,Três Forquilhas,"Rio, Lago e Oceano",0.7658,19
33,Xangri-lá,"Rio, Lago e Oceano",2.147,20
50,Balneário Pinhal,Restinga Herbácea,9.67,21
50,Capivari do Sul,Restinga Herbácea,1.9999,22
50,Cidreira,Restinga Herbácea,28.8265,23
50,Imbé,Restinga Herbácea,1.3058,24
50,Maquiné,Restinga Herbácea,11.596,25
50,Osório,Restinga Herbácea,74.1569,26
50,Palmares do Sul,Restinga Herbácea,84.5676,27
50,Tramandaí,Restinga Herbácea,12.3836,28
50,Xangri-lá,Restinga Herbácea,0.3953,29
3,Arroio do Sal,Formação Florestal,0.1296,30
3,Capão da Canoa,Formação Florestal,0.0109,31
3,Capivari do Sul,Formação Florestal,1.7041,32
3,Caraá,Formação Florestal,175.2401,33
3,Dom Pedro de Alcântara,Formação Florestal,11.4635,34
3,Itati,Formação Florestal,165.2243,35
3,Mampituba,Formação Florestal,83.7486,36
3,Maquiné,Formação Florestal,364.3928,37
3,Morrinhos do Sul,Formação Florestal,58.6059,38
3,Osório,Formação Florestal,65.0036,39
3,Terra de Areia,Formação Florestal,27.1162,40
3,Torres,Formação Florestal,4.2911,41
3,Três Cachoeiras,Formação Florestal,66.2337,42
3,Três Forquilhas,Formação Florestal,158.9543,43
21,Arroio do Sal,Mosaico de Usos,21.2167,44
21,Balneário Pinhal,Mosaico de Usos,1.9947,45
21,Capão da Canoa,Mosaico de Usos,7.5904,46
21,Capivari do Sul,Mosaico de Usos,18.8696,47
21,Caraá,Mosaico de Usos,10.0325,48
21,Cidreira,Mosaico de Usos,9.2375,49
21,Dom Pedro de Alcântara,Mosaico de Usos,25.9257,50
21,Imbé,Mosaico de Usos,0.7287,51
21,Itati,Mosaico de Usos,14.4177,52
21,Mampituba,Mosaico de Usos,36.2426,53
21,Maquiné,Mosaico de Usos,19.7983,54
21,Morrinhos do Sul,Mosaico de Usos,44.5241,55
21,Osório,Mosaico de Usos,33.4294,56
21,Palmares do Sul,Mosaico de Usos,33.8215,57
21,Terra de Areia,Mosaico de Usos,14.7423,58
21,Torres,Mosaico de Usos,41.9588,59
21,Tramandaí,Mosaico de Usos,6.6951,60
21,Três Cachoeiras,Mosaico de Usos,45.6707,61
21,Três Forquilhas,Mosaico de Usos,20.9407,62
21,Xangri-lá,Mosaico de Usos,4.4738,63
39,Arroio do Sal,Soja,0.2763,64
39,Balneário Pinhal,Soja,0.0093,65
39,Capão da Canoa,Soja,0.0417,66
39,Capivari do Sul,Soja,7.919,67
39,Caraá,Soja,0.0498,68
39,Cidreira,Soja,0.9861,69
39,Dom Pedro de Alcântara,Soja,0.1345,70
39,Itati,Soja,0.0336,71
39,Mampituba,Soja,0.0995,72
39,Maquiné,Soja,0.1723,73
39,Morrinhos do Sul,Soja,0.0415,74
39,Osório,Soja,1.2103,75
39,Palmares do Sul,Soja,3.9678,76
39,Terra de Areia,Soja,0.6683,77
39,Torres,Soja,0.3706,78
39,Tramandaí,Soja,0.2331,79
39,Três Cachoeiras,Soja,0.3491,80
39,Três Forquilhas,Soja,0.0648,81
39,Xangri-lá,Soja,0.0766,82
40,Balneário Pinhal,Arroz,2.811,83
40,Capivari do Sul,Arroz,63.8516,84
40,Caraá,Arroz,0.4103,85
40,Cidreira,Arroz,6.2912,86
40,Dom Pedro de Alcântara,Arroz,3.7656,87
40,Imbé,Arroz,0.5473,88
40,Mampituba,Arroz,9.7645,89
40,Maquiné,Arroz,0.1495,90
40,Morrinhos do Sul,Arroz,16.676,91
40,Osório,Arroz,10.3917,92
40,Palmares do Sul,Arroz,96.0759,93
40,Terra de Areia,Arroz,0.775,94
40,Torres,Arroz,35.0048,95
40,Tramandaí,Arroz,1.1827,96
40,Três Cachoeiras,Arroz,2.7336,97
40,Xangri-lá,Arroz,1.6431,98
23,Arroio do Sal,"Praia, Duna e Areal",4.0971,99
23,Balneário Pinhal,"Praia, Duna e Areal",7.2424,100
23,Capão da Canoa,"Praia, Duna e Areal",2.4286,101
23,Cidreira,"Praia, Duna e Areal",28.682,102
23,Imbé,"Praia, Duna e Areal",2.2919,103
23,Osório,"Praia, Duna e Areal",2.2434,104
23,Palmares do Sul,"Praia, Duna e Areal",60.8184,105
23,Terra de Areia,"Praia, Duna e Areal",0.2685,106
23,Torres,"Praia, Duna e Areal",3.9265,107
23,Tramandaí,"Praia, Duna e Areal",11.1746,108
23,Xangri-lá,"Praia, Duna e Areal",0.9201,109
41,Arroio do Sal,Outras Lavouras Temporárias,1.0496,110
41,Balneário Pinhal,Outras Lavouras Temporárias,5.0254,111
41,Capão da Canoa,Outras Lavouras Temporárias,1.0776,112
41,Capivari do Sul,Outras Lavouras Temporárias,182.4215,113
41,Caraá,Outras Lavouras Temporárias,3.8498,114
41,Cidreira,Outras Lavouras Temporárias,19.2481,115
41,Dom Pedro de Alcântara,Outras Lavouras Temporárias,1.4823,116
41,Imbé,Outras Lavouras Temporárias,0.8342,117
41,Itati,Outras Lavouras Temporárias,2.7993,118
41,Mampituba,Outras Lavouras Temporárias,5.6224,119
41,Maquiné,Outras Lavouras Temporárias,7.1993,120
41,Morrinhos do Sul,Outras Lavouras Temporárias,4.6315,121
41,Osório,Outras Lavouras Temporárias,45.6718,122
41,Palmares do Sul,Outras Lavouras Temporárias,268.7064,123
41,Terra de Areia,Outras Lavouras Temporárias,7.3929,124
41,Torres,Outras Lavouras Temporárias,4.1523,125
41,Tramandaí,Outras Lavouras Temporárias,8.7894,126
41,Três Cachoeiras,Outras Lavouras Temporárias,7.9699,127
41,Três Forquilhas,Outras Lavouras Temporárias,3.8659,128
41,Xangri-lá,Outras Lavouras Temporárias,0.5392,129
24,Arroio do Sal,Área Urbanizada,15.3126,130
24,Balneário Pinhal,Área Urbanizada,9.427,131
24,Capão da Canoa,Área Urbanizada,20.2179,132
24,Capivari do Sul,Área Urbanizada,0.656,133
24,Caraá,Área Urbanizada,0.0374,134
24,Cidreira,Área Urbanizada,8.9025,135
24,Dom Pedro de Alcântara,Área Urbanizada,0.1347,136
24,Imbé,Área Urbanizada,17.827,137
24,Itati,Área Urbanizada,0.0055,138
24,Maquiné,Área Urbanizada,0.4628,139
24,Morrinhos do Sul,Área Urbanizada,0.086,140
24,Osório,Área Urbanizada,14.0896,141
24,Palmares do Sul,Área Urbanizada,7.9076,142
24,Terra de Areia,Área Urbanizada,3.0221,143
24,Torres,Área Urbanizada,14.3041,144
24,Tramandaí,Área Urbanizada,20.5972,145
24,Três Cachoeiras,Área Urbanizada,1.5284,146
24,Três Forquilhas,Área Urbanizada,0.0882,147
24,Xangri-lá,Área Urbanizada,13.8653,148
25,Arroio do Sal,Outras Áreas não Vegetadas,3.0036,149
25,Balneário Pinhal,Outras Áreas não Vegetadas,3.3954,150
