class,nm_mun,descricao,id,area_km2
39.0,Arroio do Sal,Soja,1,0.1132
39.0,Balneário Pinhal,Soja,2,0.1846
39.0,Capão da Canoa,Soja,3,0.0148
39.0,Capivari do Sul,Soja,4,18.7024
39.0,Caraá,Soja,5,0.0716
39.0,Cidreira,Soja,6,1.0493
39.0,Dom Pedro de Alcântara,Soja,7,0.1798
39.0,Itati,Soja,8,0.2598
39.0,Mampituba,Soja,9,0.2493
39.0,Maquiné,Soja,10,0.3967
39.0,Morrinhos do Sul,Soja,11,0.272
39.0,Osório,Soja,12,1.8346
39.0,Palmares do Sul,Soja,13,12.2166
39.0,Terra de Areia,Soja,14,1.6502
39.0,Torres,Soja,15,1.0681
39.0,Tramandaí,Soja,16,0.7343
39.0,Três Cachoeiras,Soja,17,0.3444
39.0,Três Forquilhas,Soja,18,0.552
39.0,Xangri-lá,Soja,19,0.014
9.0,Arroio do Sal,Silvicultura,20,1.1107
9.0,Balneário Pinhal,Silvicultura,21,28.2467
9.0,Capão da Canoa,Silvicultura,22,1.5544
9.0,Capivari do Sul,Silvicultura,23,12.1214
9.0,Caraá,Silvicultura,24,48.9626
9.0,Cidreira,Silvicultura,25,26.8948
9.0,Itati,Silvicultura,26,3.1611
9.0,Mampituba,Silvicultura,27,0.0235
9.0,Maquiné,Silvicultura,28,24.616
9.0,Morrinhos do Sul,Silvicultura,29,0.0063
9.0,Osório,Silvicultura,30,35.2762
9.0,Palmares do Sul,Silvicultura,31,96.2402
9.0,Terra de Areia,Silvicultura,32,3.009
9.0,Torres,Silvicultura,33,0.0055
9.0,Tramandaí,Silvicultura,34,14.3344
9.0,Três Cachoeiras,Silvicultura,35,3.1616
9.0,Três Forquilhas,Silvicultura,36,7.8836
9.0,Xangri-lá,Silvicultura,37,0.1269
40.0,Balneário Pinhal,Arroz,38,0.8693
40.0,Capivari do Sul,Arroz,39,78.2333
40.0,Caraá,Arroz,40,0.9373
40.0,Cidreira,Arroz,41,7.2247
40.0,Dom Pedro de Alcântara,Arroz,42,2.4479
40.0,Mampituba,Arroz,43,9.9481
40.0,Maquiné,Arroz,44,2.0714
40.0,Morrinhos do Sul,Arroz,45,17.8121
40.0,Osório,Arroz,46,21.0312
40.0,Palmares do Sul,Arroz,47,154.3172
40.0,Terra de Areia,Arroz,48,0.8913
