class,nm_mun,descricao,area_km2,id
39.0,Arroio do Sal,Soja,2.4741,1
39.0,Balneário Pinhal,Soja,5.0519,2
39.0,Capão da Canoa,Soja,1.4757,3
39.0,Capivari do Sul,Soja,138.7911,4
39.0,Caraá,Soja,1.752,5
39.0,Cidreira,Soja,12.7454,6
39.0,Dom Pedro de Alcântara,Soja,1.4416,7
39.0,Imbé,Soja,0.5022,8
39.0,Itati,Soja,0.6117,9
39.0,Mampituba,Soja,4.2736,10
39.0,Maquiné,Soja,5.7033,11
39.0,Morrinhos do Sul,Soja,3.1998,12
39.0,Osório,Soja,34.8944,13
39.0,Palmares do Sul,Soja,216.8129,14
39.0,Terra de Areia,Soja,6.0232,15
39.0,Torres,Soja,5.9924,16
39.0,Tramandaí,Soja,6.7661,17
39.0,Três Cachoeiras,Soja,2.4036,18
39.0,Três Forquilhas,Soja,0.9782,19
39.0,Xangri-lá,Soja,1.1497,20
9.0,Arroio do Sal,Silvicultura,0.8022,21
9.0,Balneário Pinhal,Silvicultura,23.0943,22
9.0,Capão da Canoa,Silvicultura,0.6265,23
9.0,Capivari do Sul,Silvicultura,11.5682,24
9.0,Caraá,Silvicultura,29.9996,25
9.0,Cidreira,Silvicultura,18.1603,26
9.0,Itati,Silvicultura,3.0453,27
9.0,Maquiné,Silvicultura,23.7216,28
9.0,Osório,Silvicultura,21.7759,29
9.0,Palmares do Sul,Silvicultura,88.1566,30
9.0,Terra de Areia,Silvicultura,3.118,31
9.0,Torres,Silvicultura,0.0141,32
9.0,Tramandaí,Silvicultura,10.4341,33
9.0,Três Cachoeiras,Silvicultura,2.0967,34
9.0,Três Forquilhas,Silvicultura,6.5975,35
9.0,Xangri-lá,Silvicultura,0.0638,36
40.0,Balneário Pinhal,Arroz,0.1427,37
40.0,Capivari do Sul,Arroz,31.7478,38
40.0,Caraá,Arroz,0.1946,39
40.0,Cidreira,Arroz,4.845,40
40.0,Dom Pedro de Alcântara,Arroz,1.4011,41
40.0,Mampituba,Arroz,5.5921,42
40.0,Maquiné,Arroz,0.0226,43
40.0,Morrinhos do Sul,Arroz,7.8703,44
40.0,Osório,Arroz,10.3953,45
40.0,Palmares do Sul,Arroz,84.2269,46
40.0,Terra de Areia,Arroz,0.0109,47
40.0,Torres,Arroz,20.0473,48
40.0,Tramandaí,Arroz,0.7487,49
40.0,Três Cachoeiras,Arroz,0.7723,50
23.0,Arroio do Sal,"Praia, Duna e Areal",5.0681,51
23.0,Balneário Pinhal,"Praia, Duna e Areal",8.0644,52
23.0,Capão da Canoa,"Praia, Duna e Areal",3.0536,53
23.0,Cidreira,"Praia, Duna e Areal",28.9046,54
23.0,Imbé,"Praia, Duna e Areal",2.5565,55
23.0,Osório,"Praia, Duna e Areal",2.2386,56
23.0,Palmares do Sul,"Praia, Duna e Areal",63.7939,57
23.0,Terra de Areia,"Praia, Duna e Areal",0.2896,58
23.0,Torres,"Praia, Duna e Areal",4.369,59
23.0,Tramandaí,"Praia, Duna e Areal",11.6993,60
23.0,Xangri-lá,"Praia, Duna e Areal",0.9489,61
24.0,Arroio do Sal,Área Urbanizada,14.5948,62
24.0,Balneário Pinhal,Área Urbanizada,8.9259,63
24.0,Capão da Canoa,Área Urbanizada,18.6858,64
24.0,Capivari do Sul,Área Urbanizada,0.5015,65
24.0,Cidreira,Área Urbanizada,8.1659,66
24.0,Dom Pedro de Alcântara,Área Urbanizada,0.1167,67
24.0,Imbé,Área Urbanizada,17.4173,68
24.0,Itati,Área Urbanizada,0.0047,69
24.0,Maquiné,Área Urbanizada,0.3506,70
24.0,Morrinhos do Sul,Área Urbanizada,0.0367,71
24.0,Osório,Área Urbanizada,13.086,72
24.0,Palmares do Sul,Área Urbanizada,7.0049,73
24.0,Terra de Areia,Área Urbanizada,2.7826,74
24.0,Torres,Área Urbanizada,12.8557,75
24.0,Tramandaí,Área Urbanizada,19.8763,76
24.0,Três Cachoeiras,Área Urbanizada,1.2972,77
24.0,Três Forquilhas,Área Urbanizada,0.0749,78
24.0,Xangri-lá,Área Urbanizada,12.7621,79
49.0,Arroio do Sal,Restinga Arbórea,3.0387,80
49.0,Balneário Pinhal,Restinga Arbórea,1.9226,81
49.0,Capão da Canoa,Restinga Arbórea,2.7755,82
49.0,Capivari do Sul,Restinga Arbórea,11.97,83
49.0,Cidreira,Restinga Arbórea,11.3483,84
49.0,Dom Pedro de Alcântara,Restinga Arbórea,4.8031,85
49.0,Imbé,Restinga Arbórea,0.0326,86
49.0,Itati,Restinga Arbórea,0.2577,87
49.0,Mampituba,Restinga Arbórea,0.1736,88
49.0,Maquiné,Restinga Arbórea,3.0967,89
49.0,Morrinhos do Sul,Restinga Arbórea,6.2391,90
49.0,Osório,Restinga Arbórea,20.2143,91
49.0,Palmares do Sul,Restinga Arbórea,33.6787,92
49.0,Terra de Areia,Restinga Arbórea,6.9034,93
49.0,Torres,Restinga Arbórea,7.6974,94
49.0,Tramandaí,Restinga Arbórea,8.7395,95
49.0,Três Cachoeiras,Restinga Arbórea,2.3158,96
49.0,Três Forquilhas,Restinga Arbórea,1.2824,97
49.0,Xangri-lá,Restinga Arbórea,1.948,98
11.0,Arroio do Sal,Campo Alagado e Área Pantanosa,1.7046,99
11.0,Balneário Pinhal,Campo Alagado e Área Pantanosa,3.728,100
11.0,Capão da Canoa,Campo Alagado e Área Pantanosa,1.0853,101
11.0,Capivari do Sul,Campo Alagado e Área Pantanosa,14.46,102
11.0,Cidreira,Campo Alagado e Área Pantanosa,10.6154,103
11.0,Dom Pedro de Alcântara,Campo Alagado e Área Pantanosa,2.6788,104
11.0,Imbé,Campo Alagado e Área Pantanosa,8.7121,105
11.0,Maquiné,Campo Alagado e Área Pantanosa,17.7575,106
11.0,Morrinhos do Sul,Campo Alagado e Área Pantanosa,2.5789,107
11.0,Osório,Campo Alagado e Área Pantanosa,47.6587,108
11.0,Palmares do Sul,Campo Alagado e Área Pantanosa,59.0368,109
11.0,Terra de Areia,Campo Alagado e Área Pantanosa,1.3245,110
11.0,Torres,Campo Alagado e Área Pantanosa,3.9753,111
11.0,Tramandaí,Campo Alagado e Área Pantanosa,8.4354,112
11.0,Três Cachoeiras,Campo Alagado e Área Pantanosa,0.2276,113
11.0,Três Forquilhas,Campo Alagado e Área Pantanosa,0.007,114
11.0,Xangri-lá,Campo Alagado e Área Pantanosa,11.596,115
33.0,Arroio do Sal,"Rio, Lago e Oceano",21.3602,116
33.0,Balneário Pinhal,"Rio, Lago e Oceano",18.5588,117
33.0,Capão da Canoa,"Rio, Lago e Oceano",2.7704,118
33.0,Capivari do Sul,"Rio, Lago e Oceano",21.0544,119
33.0,Caraá,"Rio, Lago e Oceano",0.0187,120
33.0,Cidreira,"Rio, Lago e Oceano",47.6369,121
33.0,Dom Pedro de Alcântara,"Rio, Lago e Oceano",14.1975,122
33.0,Imbé,"Rio, Lago e Oceano",5.2089,123
33.0,Itati,"Rio, Lago e Oceano",0.0693,124
33.0,Mampituba,"Rio, Lago e Oceano",0.1704,125
33.0,Maquiné,"Rio, Lago e Oceano",122.9586,126
33.0,Morrinhos do Sul,"Rio, Lago e Oceano",0.7238,127
33.0,Osório,"Rio, Lago e Oceano",175.1904,128
33.0,Palmares do Sul,"Rio, Lago e Oceano",91.8332,129
33.0,Terra de Areia,"Rio, Lago e Oceano",10.0703,130
33.0,Torres,"Rio, Lago e Oceano",7.9393,131
33.0,Tramandaí,"Rio, Lago e Oceano",18.863,132
33.0,Três Cachoeiras,"Rio, Lago e Oceano",89.4574,133
33.0,Três Forquilhas,"Rio, Lago e Oceano",0.945,134
33.0,Xangri-lá,"Rio, Lago e Oceano",2.246,135
3.0,Arroio do Sal,Formação Florestal,0.1164,136
3.0,Capão da Canoa,Formação Florestal,0.0117,137
3.0,Capivari do Sul,Formação Florestal,1.7678,138
